Sample	Family ID	Population	Population Description	Gender
HG00096	HG00096	GBR	British in England and Scotland	male
HG00097	HG00097	GBR	British in England and Scotland	female
HG00098	HG00098	GBR	British in England and Scotland	male
HG00099	HG00099	GBR	British in England and Scotland	female
HG00100	HG00100	GBR	British in England and Scotland	female
HG00101	HG00101	GBR	British in England and Scotland	male
HG00102	HG00102	GBR	British in England and Scotland	female
HG00103	HG00103	GBR	British in England and Scotland	male
HG00104	HG00104	GBR	British in England and Scotland	female
HG00105	HG00105	GBR	British in England and Scotland	male
HG00106	HG00106	GBR	British in England and Scotland	female
HG00107	HG00107	GBR	British in England and Scotland	male
HG00108	HG00108	GBR	British in England and Scotland	male
HG00109	HG00109	GBR	British in England and Scotland	male
HG00110	HG00110	GBR	British in England and Scotland	female
HG00111	HG00111	GBR	British in England and Scotland	female
HG00112	HG00112	GBR	British in England and Scotland	male
HG00113	HG00113	GBR	British in England and Scotland	male
HG00114	HG00114	GBR	British in England and Scotland	male
HG00115	HG00115	GBR	British in England and Scotland	male
HG00116	HG00116	GBR	British in England and Scotland	male
HG00117	HG00117	GBR	British in England and Scotland	male
HG00118	HG00118	GBR	British in England and Scotland	female
HG00119	HG00119	GBR	British in England and Scotland	male
HG00120	HG00120	GBR	British in England and Scotland	female
HG00121	HG00121	GBR	British in England and Scotland	female
HG00122	HG00122	GBR	British in England and Scotland	female
HG00123	HG00123	GBR	British in England and Scotland	female
HG00124	HG00124	GBR	British in England and Scotland	female
HG00125	HG00125	GBR	British in England and Scotland	female
HG00126	HG00126	GBR	British in England and Scotland	male
HG00127	HG00127	GBR	British in England and Scotland	female
HG00128	HG00128	GBR	British in England and Scotland	female
HG00129	HG00129	GBR	British in England and Scotland	male
HG00130	HG00130	GBR	British in England and Scotland	female
HG00131	HG00131	GBR	British in England and Scotland	male
HG00132	HG00132	GBR	British in England and Scotland	female
HG00133	HG00133	GBR	British in England and Scotland	female
HG00134	HG00134	GBR	British in England and Scotland	female
HG00135	HG00135	GBR	British in England and Scotland	female
HG00136	HG00136	GBR	British in England and Scotland	male
HG00137	HG00137	GBR	British in England and Scotland	female
HG00138	HG00138	GBR	British in England and Scotland	male
HG00139	HG00139	GBR	British in England and Scotland	male
HG00140	HG00140	GBR	British in England and Scotland	male
HG00141	HG00141	GBR	British in England and Scotland	male
HG00142	HG00142	GBR	British in England and Scotland	male
HG00143	HG00143	GBR	British in England and Scotland	male
HG00144	GBR001	GBR	British in England and Scotland	female
HG00145	HG00145	GBR	British in England and Scotland	male
HG00146	GBR002	GBR	British in England and Scotland	female
HG00147	GBR002a	GBR	British in England and Scotland	female
HG00148	HG00148	GBR	British in England and Scotland	male
HG00149	HG00149	GBR	British in England and Scotland	male
HG00150	HG00150	GBR	British in England and Scotland	female
HG00151	HG00151	GBR	British in England and Scotland	male
HG00152	HG00152	GBR	British in England and Scotland	male
HG00153	GBR003	GBR	British in England and Scotland	female
HG00154	HG00154	GBR	British in England and Scotland	female
HG00155	GBR001	GBR	British in England and Scotland	male
HG00156	HG00156	GBR	British in England and Scotland	male
HG00157	HG00157	GBR	British in England and Scotland	male
HG00158	GBR003	GBR	British in England and Scotland	female
HG00159	HG00159	GBR	British in England and Scotland	male
HG00160	HG00160	GBR	British in England and Scotland	male
HG00171	HG00171	FIN	Finnish in Finland	female
HG00173	HG00173	FIN	Finnish in Finland	female
HG00174	HG00174	FIN	Finnish in Finland	female
HG00176	HG00176	FIN	Finnish in Finland	female
HG00177	HG00177	FIN	Finnish in Finland	female
HG00178	HG00178	FIN	Finnish in Finland	female
HG00179	HG00179	FIN	Finnish in Finland	female
HG00180	HG00180	FIN	Finnish in Finland	female
HG00181	HG00181	FIN	Finnish in Finland	male
HG00182	HG00182	FIN	Finnish in Finland	male
HG00183	HG00183	FIN	Finnish in Finland	male
HG00185	HG00185	FIN	Finnish in Finland	male
HG00186	HG00186	FIN	Finnish in Finland	male
HG00187	HG00187	FIN	Finnish in Finland	male
HG00188	HG00188	FIN	Finnish in Finland	male
HG00189	HG00189	FIN	Finnish in Finland	male
HG00190	HG00190	FIN	Finnish in Finland	male
HG00231	HG00231	GBR	British in England and Scotland	female
HG00232	HG00232	GBR	British in England and Scotland	female
HG00233	HG00233	GBR	British in England and Scotland	female
HG00234	HG00234	GBR	British in England and Scotland	male
HG00235	HG00235	GBR	British in England and Scotland	female
HG00236	HG00236	GBR	British in England and Scotland	female
HG00237	HG00237	GBR	British in England and Scotland	female
HG00238	HG00238	GBR	British in England and Scotland	female
HG00239	HG00239	GBR	British in England and Scotland	female
HG00240	HG00240	GBR	British in England and Scotland	female
HG00242	HG00242	GBR	British in England and Scotland	male
HG00243	HG00243	GBR	British in England and Scotland	male
HG00244	HG00244	GBR	British in England and Scotland	male
HG00245	HG00245	GBR	British in England and Scotland	female
HG00246	HG00246	GBR	British in England and Scotland	male
HG00247	GBR004	GBR	British in England and Scotland	female
HG00248	GBR004	GBR	British in England and Scotland	female
HG00249	HG00249	GBR	British in England and Scotland	female
HG00250	HG00250	GBR	British in England and Scotland	female
HG00251	HG00251	GBR	British in England and Scotland	male
HG00252	HG00252	GBR	British in England and Scotland	male
HG00253	HG00253	GBR	British in England and Scotland	female
HG00254	HG00254	GBR	British in England and Scotland	female
HG00255	HG00255	GBR	British in England and Scotland	female
HG00256	HG00256	GBR	British in England and Scotland	male
HG00257	HG00257	GBR	British in England and Scotland	female
HG00258	HG00258	GBR	British in England and Scotland	female
HG00259	HG00259	GBR	British in England and Scotland	female
HG00260	HG00260	GBR	British in England and Scotland	male
HG00261	HG00261	GBR	British in England and Scotland	female
HG00262	HG00262	GBR	British in England and Scotland	female
HG00263	HG00263	GBR	British in England and Scotland	female
HG00264	HG00264	GBR	British in England and Scotland	male
HG00265	HG00265	GBR	British in England and Scotland	male
HG00266	HG00266	FIN	Finnish in Finland	female
HG00267	HG00267	FIN	Finnish in Finland	male
HG00268	HG00268	FIN	Finnish in Finland	female
HG00269	HG00269	FIN	Finnish in Finland	female
HG00270	HG00270	FIN	Finnish in Finland	female
HG00271	HG00271	FIN	Finnish in Finland	male
HG00272	HG00272	FIN	Finnish in Finland	female
HG00273	HG00273	FIN	Finnish in Finland	male
HG00274	HG00274	FIN	Finnish in Finland	female
HG00275	HG00275	FIN	Finnish in Finland	female
HG00276	HG00276	FIN	Finnish in Finland	female
HG00277	HG00277	FIN	Finnish in Finland	male
HG00278	HG00278	FIN	Finnish in Finland	male
HG00280	HG00280	FIN	Finnish in Finland	male
HG00281	HG00281	FIN	Finnish in Finland	female
HG00282	HG00282	FIN	Finnish in Finland	female
HG00284	HG00284	FIN	Finnish in Finland	male
HG00285	HG00285	FIN	Finnish in Finland	female
HG00288	HG00288	FIN	Finnish in Finland	female
HG00290	HG00290	FIN	Finnish in Finland	male
HG00302	HG00302	FIN	Finnish in Finland	female
HG00303	HG00303	FIN	Finnish in Finland	male
HG00304	HG00304	FIN	Finnish in Finland	female
HG00306	HG00306	FIN	Finnish in Finland	female
HG00308	HG00308	FIN	Finnish in Finland	male
HG00309	HG00309	FIN	Finnish in Finland	female
HG00310	HG00310	FIN	Finnish in Finland	male
HG00311	HG00311	FIN	Finnish in Finland	male
HG00312	HG00312	FIN	Finnish in Finland	male
HG00313	HG00313	FIN	Finnish in Finland	female
HG00315	HG00315	FIN	Finnish in Finland	female
HG00318	HG00318	FIN	Finnish in Finland	female
HG00319	HG00319	FIN	Finnish in Finland	female
HG00320	HG00320	FIN	Finnish in Finland	female
HG00321	HG00321	FIN	Finnish in Finland	male
HG00323	HG00323	FIN	Finnish in Finland	female
HG00324	HG00324	FIN	Finnish in Finland	female
HG00325	HG00325	FIN	Finnish in Finland	male
HG00326	HG00326	FIN	Finnish in Finland	female
HG00327	HG00327	FIN	Finnish in Finland	female
HG00328	HG00328	FIN	Finnish in Finland	female
HG00329	HG00329	FIN	Finnish in Finland	male
HG00330	HG00330	FIN	Finnish in Finland	female
HG00331	HG00331	FIN	Finnish in Finland	female
HG00332	HG00332	FIN	Finnish in Finland	female
HG00334	HG00334	FIN	Finnish in Finland	female
HG00335	HG00335	FIN	Finnish in Finland	male
HG00336	HG00336	FIN	Finnish in Finland	male
HG00337	HG00337	FIN	Finnish in Finland	female
HG00338	HG00338	FIN	Finnish in Finland	male
HG00339	HG00339	FIN	Finnish in Finland	female
HG00341	HG00341	FIN	Finnish in Finland	male
HG00342	HG00342	FIN	Finnish in Finland	male
HG00343	HG00343	FIN	Finnish in Finland	female
HG00344	HG00344	FIN	Finnish in Finland	female
HG00345	HG00345	FIN	Finnish in Finland	male
HG00346	HG00346	FIN	Finnish in Finland	female
HG00349	HG00349	FIN	Finnish in Finland	female
HG00350	HG00350	FIN	Finnish in Finland	female
HG00351	HG00351	FIN	Finnish in Finland	male
HG00353	HG00353	FIN	Finnish in Finland	female
HG00355	HG00355	FIN	Finnish in Finland	female
HG00356	HG00356	FIN	Finnish in Finland	female
HG00357	HG00357	FIN	Finnish in Finland	female
HG00358	HG00358	FIN	Finnish in Finland	male
HG00359	HG00359	FIN	Finnish in Finland	female
HG00360	HG00360	FIN	Finnish in Finland	male
HG00361	HG00361	FIN	Finnish in Finland	female
HG00362	HG00362	FIN	Finnish in Finland	female
HG00364	HG00364	FIN	Finnish in Finland	female
HG00365	HG00365	FIN	Finnish in Finland	female
HG00366	HG00366	FIN	Finnish in Finland	male
HG00367	HG00367	FIN	Finnish in Finland	female
HG00368	HG00368	FIN	Finnish in Finland	female
HG00369	HG00369	FIN	Finnish in Finland	male
HG00371	HG00371	FIN	Finnish in Finland	male
HG00372	HG00372	FIN	Finnish in Finland	male
HG00373	HG00373	FIN	Finnish in Finland	female
HG00375	HG00375	FIN	Finnish in Finland	male
HG00376	HG00376	FIN	Finnish in Finland	female
HG00377	HG00377	FIN	Finnish in Finland	female
HG00378	HG00378	FIN	Finnish in Finland	female
HG00379	HG00379	FIN	Finnish in Finland	female
HG00380	HG00380	FIN	Finnish in Finland	female
HG00381	HG00381	FIN	Finnish in Finland	female
HG00382	HG00382	FIN	Finnish in Finland	male
HG00383	HG00383	FIN	Finnish in Finland	female
HG00384	HG00384	FIN	Finnish in Finland	female
HG00403	SH001	CHS	Southern Han Chinese, China	male
HG00404	SH001	CHS	Southern Han Chinese, China	female
HG00405	SH001	CHS	Southern Han Chinese, China	female
HG00406	SH002	CHS	Southern Han Chinese, China	male
HG00407	SH002	CHS	Southern Han Chinese, China	female
HG00408	SH002	CHS	Southern Han Chinese, China	female
HG00409	SH003	CHS	Southern Han Chinese, China	male
HG00410	SH003	CHS	Southern Han Chinese, China	female
HG00411	SH003	CHS	Southern Han Chinese, China	male
HG00418	SH006	CHS	Southern Han Chinese, China	male
HG00419	SH006	CHS	Southern Han Chinese, China	female
HG00420	SH006	CHS	Southern Han Chinese, China	male
HG00421	SH007	CHS	Southern Han Chinese, China	male
HG00422	SH007	CHS	Southern Han Chinese, China	female
HG00423	SH007	CHS	Southern Han Chinese, China	female
HG00427	SH009	CHS	Southern Han Chinese, China	male
HG00428	SH009	CHS	Southern Han Chinese, China	female
HG00429	SH009	CHS	Southern Han Chinese, China	male
HG00436	SH012	CHS	Southern Han Chinese, China	male
HG00437	SH012	CHS	Southern Han Chinese, China	female
HG00438	SH012	CHS	Southern Han Chinese, China	female
HG00442	SH014	CHS	Southern Han Chinese, China	male
HG00443	SH014	CHS	Southern Han Chinese, China	female
HG00444	SH014	CHS	Southern Han Chinese, China	male
HG00445	SH015	CHS	Southern Han Chinese, China	male
HG00446	SH015	CHS	Southern Han Chinese, China	female
HG00447	SH015	CHS	Southern Han Chinese, China	female
HG00448	SH016	CHS	Southern Han Chinese, China	male
HG00449	SH016	CHS	Southern Han Chinese, China	female
HG00450	SH016	CHS	Southern Han Chinese, China	female
HG00451	SH017	CHS	Southern Han Chinese, China	male
HG00452	SH017	CHS	Southern Han Chinese, China	female
HG00453	SH017	CHS	Southern Han Chinese, China	female
HG00457	SH019	CHS	Southern Han Chinese, China	male
HG00458	SH019	CHS	Southern Han Chinese, China	female
HG00459	SH019	CHS	Southern Han Chinese, China	male
HG00463	SH021	CHS	Southern Han Chinese, China	male
HG00464	SH021	CHS	Southern Han Chinese, China	female
HG00465	SH021	CHS	Southern Han Chinese, China	male
HG00472	SH024	CHS	Southern Han Chinese, China	male
HG00473	SH024	CHS	Southern Han Chinese, China	female
HG00474	SH024	CHS	Southern Han Chinese, China	male
HG00475	SH025	CHS	Southern Han Chinese, China	male
HG00476	SH025	CHS	Southern Han Chinese, China	female
HG00477	SH025	CHS	Southern Han Chinese, China	male
HG00478	SH026	CHS	Southern Han Chinese, China	male
HG00479	SH026	CHS	Southern Han Chinese, China	female
HG00480	SH026	CHS	Southern Han Chinese, China	male
HG00500	SH028	CHS	Southern Han Chinese, China	male
HG00501	SH028	CHS	Southern Han Chinese, China	female
HG00502	SH028	CHS	Southern Han Chinese, China	male
HG00512	SH032	CHS	Southern Han Chinese, China	male
HG00513	SH032	CHS	Southern Han Chinese, China	female
HG00514	SH032	CHS	Southern Han Chinese, China	female
HG00524	SH036	CHS	Southern Han Chinese, China	male
HG00525	SH036	CHS	Southern Han Chinese, China	female
HG00526	SH036	CHS	Southern Han Chinese, China	male
HG00530	SH038	CHS	Southern Han Chinese, China	male
HG00531	SH038	CHS	Southern Han Chinese, China	female
HG00532	SH038	CHS	Southern Han Chinese, China	male
HG00533	SH039	CHS	Southern Han Chinese, China	male
HG00534	SH039	CHS	Southern Han Chinese, China	female
HG00535	SH039	CHS	Southern Han Chinese, China	male
HG00536	SH040	CHS	Southern Han Chinese, China	male
HG00537	SH040	CHS	Southern Han Chinese, China	female
HG00538	SH040	CHS	Southern Han Chinese, China	male
HG00542	SH042	CHS	Southern Han Chinese, China	male
HG00543	SH042	CHS	Southern Han Chinese, China	female
HG00544	SH042	CHS	Southern Han Chinese, China	female
HG00551	PR01	PUR	Puerto Rican in Puerto Rico	female
HG00552	PR01	PUR	Puerto Rican in Puerto Rico	male
HG00553	PR02	PUR	Puerto Rican in Puerto Rico	male
HG00554	PR02	PUR	Puerto Rican in Puerto Rico	female
HG00555	PR02	PUR	Puerto Rican in Puerto Rico	female
HG00556	SH045	CHS	Southern Han Chinese, China	male
HG00557	SH045	CHS	Southern Han Chinese, China	female
HG00558	SH045	CHS	Southern Han Chinese, China	female
HG00559	SH046	CHS	Southern Han Chinese, China	male
HG00560	SH046	CHS	Southern Han Chinese, China	female
HG00561	SH046	CHS	Southern Han Chinese, China	female
HG00565	SH048	CHS	Southern Han Chinese, China	male
HG00566	SH048	CHS	Southern Han Chinese, China	female
HG00567	SH048	CHS	Southern Han Chinese, China	male
HG00577	SH052	CHS	Southern Han Chinese, China	male
HG00578	SH052	CHS	Southern Han Chinese, China	female
HG00579	SH052	CHS	Southern Han Chinese, China	female
HG00580	SH053	CHS	Southern Han Chinese, China	male
HG00581	SH053	CHS	Southern Han Chinese, China	female
HG00582	SH053	CHS	Southern Han Chinese, China	female
HG00583	SH054	CHS	Southern Han Chinese, China	male
HG00584	SH054	CHS	Southern Han Chinese, China	female
HG00585	SH054	CHS	Southern Han Chinese, China	female
HG00589	SH056	CHS	Southern Han Chinese, China	male
HG00590	SH056	CHS	Southern Han Chinese, China	female
HG00591	SH056	CHS	Southern Han Chinese, China	male
HG00592	SH057	CHS	Southern Han Chinese, China	male
HG00593	SH057	CHS	Southern Han Chinese, China	female
HG00594	SH057	CHS	Southern Han Chinese, China	male
HG00595	SH058	CHS	Southern Han Chinese, China	male
HG00596	SH058	CHS	Southern Han Chinese, China	female
HG00597	SH058	CHS	Southern Han Chinese, China	female
HG00598	SH059	CHS	Southern Han Chinese, China	male
HG00599	SH059	CHS	Southern Han Chinese, China	female
HG00600	SH059	CHS	Southern Han Chinese, China	female
HG00607	SH062	CHS	Southern Han Chinese, China	male
HG00608	SH062	CHS	Southern Han Chinese, China	female
HG00609	SH062	CHS	Southern Han Chinese, China	male
HG00610	SH063	CHS	Southern Han Chinese, China	male
HG00611	SH063	CHS	Southern Han Chinese, China	female
HG00612	SH063	CHS	Southern Han Chinese, China	female
HG00613	SH064	CHS	Southern Han Chinese, China	male
HG00614	SH064	CHS	Southern Han Chinese, China	female
HG00615	SH064	CHS	Southern Han Chinese, China	female
HG00619	SH066	CHS	Southern Han Chinese, China	male
HG00620	SH066	CHS	Southern Han Chinese, China	female
HG00621	SH066	CHS	Southern Han Chinese, China	male
HG00622	SH067	CHS	Southern Han Chinese, China	male
HG00623	SH067	CHS	Southern Han Chinese, China	female
HG00624	SH067	CHS	Southern Han Chinese, China	male
HG00625	SH068	CHS	Southern Han Chinese, China	male
HG00626	SH068	CHS	Southern Han Chinese, China	female
HG00627	SH068	CHS	Southern Han Chinese, China	male
HG00628	SH069	CHS	Southern Han Chinese, China	male
HG00629	SH069	CHS	Southern Han Chinese, China	female
HG00630	SH069	CHS	Southern Han Chinese, China	male
HG00631	SH070	CHS	Southern Han Chinese, China	male
HG00632	SH070	CHS	Southern Han Chinese, China	female
HG00633	SH070	CHS	Southern Han Chinese, China	male
