	Sample	Family ID	Population	Population Description	Gender	centers
4	HG00100	HG00100	GBR	British in England and Scotland	female	['SC', 'BI']
20	HG00116	HG00116	GBR	British in England and Scotland	male	['BI']
21	HG00117	HG00117	GBR	British in England and Scotland	male	['BI']
23	HG00119	HG00119	GBR	British in England and Scotland	male	['BI']
24	HG00120	HG00120	GBR	British in England and Scotland	female	['BI']
27	HG00123	HG00123	GBR	British in England and Scotland	female	['BI']
28	HG00124	HG00124	GBR	British in England and Scotland	female	['BI']
35	HG00131	HG00131	GBR	British in England and Scotland	male	['BI']
37	HG00133	HG00133	GBR	British in England and Scotland	female	['BI']
49	HG00145	HG00145	GBR	British in England and Scotland	male	['BI']
50	HG00146	GBR002	GBR	British in England and Scotland	female	['BI']
59	HG00155	GBR001	GBR	British in England and Scotland	male	['BI']
68	HG00176	HG00176	FIN	Finnish in Finland	female	['SC', 'BI']
122	HG00272	HG00272	FIN	Finnish in Finland	female	['SC', 'BI']
139	HG00306	HG00306	FIN	Finnish in Finland	female	['SC', 'BI']
140	HG00308	HG00308	FIN	Finnish in Finland	male	['SC', 'BI']
143	HG00311	HG00311	FIN	Finnish in Finland	male	['SC', 'BI']
179	HG00357	HG00357	FIN	Finnish in Finland	female	['SC', 'BI']
183	HG00361	HG00361	FIN	Finnish in Finland	female	['SC', 'BI']
187	HG00366	HG00366	FIN	Finnish in Finland	male	['SC', 'BI']
188	HG00367	HG00367	FIN	Finnish in Finland	female	['SC', 'BI']
190	HG00369	HG00369	FIN	Finnish in Finland	male	['SC', 'BI']
191	HG00371	HG00371	FIN	Finnish in Finland	male	['MPIMG', 'BI']
192	HG00372	HG00372	FIN	Finnish in Finland	male	['SC', 'BI']
204	HG00403	SH001	CHS	Southern Han Chinese, China	male	['SC', 'BI']
205	HG00404	SH001	CHS	Southern Han Chinese, China	female	['SC', 'BI']
210	HG00409	SH003	CHS	Southern Han Chinese, China	male	['BI']
211	HG00410	SH003	CHS	Southern Han Chinese, China	female	['BI']
273	HG00551	PR01	PUR	Puerto Rican in Puerto Rico	female	['BI']
305	HG00598	SH059	CHS	Southern Han Chinese, China	male	['BI']
306	HG00599	SH059	CHS	Southern Han Chinese, China	female	['BI']
311	HG00610	SH063	CHS	Southern Han Chinese, China	male	['SC', 'BI']
312	HG00611	SH063	CHS	Southern Han Chinese, China	female	['SC', 'BI']
320	HG00622	SH067	CHS	Southern Han Chinese, China	male	['BI']
321	HG00623	SH067	CHS	Southern Han Chinese, China	female	['BI']
323	HG00625	SH068	CHS	Southern Han Chinese, China	male	['SC', 'BI']
324	HG00626	SH068	CHS	Southern Han Chinese, China	female	['SC', 'BI']
339	HG00641	PR04	PUR	Puerto Rican in Puerto Rico	female	['BI']
386	HG00731	PR05	PUR	Puerto Rican in Puerto Rico	male	['BI']
387	HG00732	PR05	PUR	Puerto Rican in Puerto Rico	female	['BI']
388	HG00733	PR05	PUR	Puerto Rican in Puerto Rico	female	['BI']
389	HG00734	PR06	PUR	Puerto Rican in Puerto Rico	female	['BI']
391	HG00736	PR07	PUR	Puerto Rican in Puerto Rico	male	['BI']
392	HG00737	PR07	PUR	Puerto Rican in Puerto Rico	female	['BI']
394	HG00739	PR09	PUR	Puerto Rican in Puerto Rico	male	['BI']
416	HG01047	PR06	PUR	Puerto Rican in Puerto Rico	male	['BI']
417	HG01048	PR08	PUR	Puerto Rican in Puerto Rico	male	['BI']
423	HG01054	PR12	PUR	Puerto Rican in Puerto Rico	male	['BI']
543	HG01256	CLM16	CLM	Colombian in Medellin, Colombia	male	['MPIMG', 'BI']
544	HG01257	CLM16	CLM	Colombian in Medellin, Colombia	female	['MPIMG', 'BI']
546	HG01259	CLM17	CLM	Colombian in Medellin, Colombia	male	['MPIMG', 'BI']
547	HG01260	CLM17	CLM	Colombian in Medellin, Colombia	female	['MPIMG', 'BI']
577	HG01341	CLM26	CLM	Colombian in Medellin, Colombia	male	['BI']
578	HG01342	CLM26	CLM	Colombian in Medellin, Colombia	female	['BI']
595	HG01359	CLM32	CLM	Colombian in Medellin, Colombia	male	['BI']
609	HG01377	CLM38	CLM	Colombian in Medellin, Colombia	male	['ILLUMINA', 'BI']
610	HG01378	CLM38	CLM	Colombian in Medellin, Colombia	female	['ILLUMINA', 'BI']
