	Sample	Family ID	Population	Population Description	Gender	centers
28	HG00124	HG00124	GBR	British in England and Scotland	female	['BI']
35	HG00131	HG00131	GBR	British in England and Scotland	male	['BI']
37	HG00133	HG00133	GBR	British in England and Scotland	female	['BI']
49	HG00145	HG00145	GBR	British in England and Scotland	male	['BI']
50	HG00146	GBR002	GBR	British in England and Scotland	female	['BI']
59	HG00155	GBR001	GBR	British in England and Scotland	male	['BI']
179	HG00357	HG00357	FIN	Finnish in Finland	female	['SC', 'BI']
183	HG00361	HG00361	FIN	Finnish in Finland	female	['SC', 'BI']
188	HG00367	HG00367	FIN	Finnish in Finland	female	['SC', 'BI']
190	HG00369	HG00369	FIN	Finnish in Finland	male	['SC', 'BI']
191	HG00371	HG00371	FIN	Finnish in Finland	male	['MPIMG', 'BI']
192	HG00372	HG00372	FIN	Finnish in Finland	male	['SC', 'BI']
311	HG00610	SH063	CHS	Southern Han Chinese, China	male	['SC', 'BI']
312	HG00611	SH063	CHS	Southern Han Chinese, China	female	['SC', 'BI']
320	HG00622	SH067	CHS	Southern Han Chinese, China	male	['BI']
321	HG00623	SH067	CHS	Southern Han Chinese, China	female	['BI']
323	HG00625	SH068	CHS	Southern Han Chinese, China	male	['SC', 'BI']
324	HG00626	SH068	CHS	Southern Han Chinese, China	female	['SC', 'BI']
388	HG00733	PR05	PUR	Puerto Rican in Puerto Rico	female	['BI']
389	HG00734	PR06	PUR	Puerto Rican in Puerto Rico	female	['BI']
392	HG00737	PR07	PUR	Puerto Rican in Puerto Rico	female	['BI']
416	HG01047	PR06	PUR	Puerto Rican in Puerto Rico	male	['BI']
417	HG01048	PR08	PUR	Puerto Rican in Puerto Rico	male	['BI']
423	HG01054	PR12	PUR	Puerto Rican in Puerto Rico	male	['BI']
595	HG01359	CLM32	CLM	Colombian in Medellin, Colombia	male	['BI']
609	HG01377	CLM38	CLM	Colombian in Medellin, Colombia	male	['ILLUMINA', 'BI']
610	HG01378	CLM38	CLM	Colombian in Medellin, Colombia	female	['ILLUMINA', 'BI']
612	HG01383	CLM40	CLM	Colombian in Medellin, Colombia	male	['ILLUMINA', 'BI']
613	HG01384	CLM40	CLM	Colombian in Medellin, Colombia	female	['ILLUMINA', 'BI']
639	HG01438	CLM45	CLM	Colombian in Medellin, Colombia	female	['BI']
817	HG01709	IBS039	IBS	Iberian populations in Spain	male	['BI']
818	HG01710	IBS039	IBS	Iberian populations in Spain	female	['BI']
820	HG01746	IBS041	IBS	Iberian populations in Spain	female	['BI']
821	HG01747	IBS041	IBS	Iberian populations in Spain	male	['BI']
903	HG01867	VN034	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
905	HG01869	VN036	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
954	HG01938	PEL015	PEL	Peruvian in Lima, Peru	male	['BI']
955	HG01939	PEL015	PEL	Peruvian in Lima, Peru	female	['BI']
957	HG01941	PEL016	PEL	Peruvian in Lima, Peru	male	['BI']
958	HG01942	PEL016	PEL	Peruvian in Lima, Peru	female	['BI']
960	HG01944	PEL017	PEL	Peruvian in Lima, Peru	male	['BI']
961	HG01945	PEL017	PEL	Peruvian in Lima, Peru	female	['BI']
1026	HG02023	VN048	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
