	Sample	Family ID	Population	Population Description	Gender	centers
4	HG00100	HG00100	GBR	British in England and Scotland	female	['SC', 'BI']
20	HG00116	HG00116	GBR	British in England and Scotland	male	['BI']
21	HG00117	HG00117	GBR	British in England and Scotland	male	['BI']
23	HG00119	HG00119	GBR	British in England and Scotland	male	['BI']
24	HG00120	HG00120	GBR	British in England and Scotland	female	['BI']
27	HG00123	HG00123	GBR	British in England and Scotland	female	['BI']
68	HG00176	HG00176	FIN	Finnish in Finland	female	['SC', 'BI']
122	HG00272	HG00272	FIN	Finnish in Finland	female	['SC', 'BI']
139	HG00306	HG00306	FIN	Finnish in Finland	female	['SC', 'BI']
140	HG00308	HG00308	FIN	Finnish in Finland	male	['SC', 'BI']
143	HG00311	HG00311	FIN	Finnish in Finland	male	['SC', 'BI']
187	HG00366	HG00366	FIN	Finnish in Finland	male	['SC', 'BI']
204	HG00403	SH001	CHS	Southern Han Chinese, China	male	['SC', 'BI']
205	HG00404	SH001	CHS	Southern Han Chinese, China	female	['SC', 'BI']
210	HG00409	SH003	CHS	Southern Han Chinese, China	male	['BI']
211	HG00410	SH003	CHS	Southern Han Chinese, China	female	['BI']
273	HG00551	PR01	PUR	Puerto Rican in Puerto Rico	female	['BI']
305	HG00598	SH059	CHS	Southern Han Chinese, China	male	['BI']
306	HG00599	SH059	CHS	Southern Han Chinese, China	female	['BI']
339	HG00641	PR04	PUR	Puerto Rican in Puerto Rico	female	['BI']
386	HG00731	PR05	PUR	Puerto Rican in Puerto Rico	male	['BI']
387	HG00732	PR05	PUR	Puerto Rican in Puerto Rico	female	['BI']
391	HG00736	PR07	PUR	Puerto Rican in Puerto Rico	male	['BI']
394	HG00739	PR09	PUR	Puerto Rican in Puerto Rico	male	['BI']
543	HG01256	CLM16	CLM	Colombian in Medellin, Colombia	male	['MPIMG', 'BI']
544	HG01257	CLM16	CLM	Colombian in Medellin, Colombia	female	['MPIMG', 'BI']
546	HG01259	CLM17	CLM	Colombian in Medellin, Colombia	male	['MPIMG', 'BI']
547	HG01260	CLM17	CLM	Colombian in Medellin, Colombia	female	['MPIMG', 'BI']
577	HG01341	CLM26	CLM	Colombian in Medellin, Colombia	male	['BI']
578	HG01342	CLM26	CLM	Colombian in Medellin, Colombia	female	['BI']
805	HG01697	IBS035	IBS	Iberian populations in Spain	female	['MPIMG', 'BI']
807	HG01699	IBS035	IBS	Iberian populations in Spain	male	['MPIMG', 'BI']
812	HG01704	IBS037	IBS	Iberian populations in Spain	female	['BI']
813	HG01705	IBS037	IBS	Iberian populations in Spain	male	['BI']
815	HG01707	IBS038	IBS	Iberian populations in Spain	female	['BI']
816	HG01708	IBS038	IBS	Iberian populations in Spain	male	['BI']
898	HG01862	VN029	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
899	HG01863	VN030	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
900	HG01864	VN031	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
901	HG01865	VN032	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
902	HG01866	VN033	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
904	HG01868	VN035	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
918	HG01885	BB03	ACB	African Caribbean in Barbados	male	['BI']
945	HG01926	PEL011	PEL	Peruvian in Lima, Peru	male	['BI']
946	HG01927	PEL011	PEL	Peruvian in Lima, Peru	female	['BI']
948	HG01932	PEL013	PEL	Peruvian in Lima, Peru	male	['BI']
949	HG01933	PEL013	PEL	Peruvian in Lima, Peru	female	['BI']
951	HG01935	PEL014	PEL	Peruvian in Lima, Peru	male	['BI']
952	HG01936	PEL014	PEL	Peruvian in Lima, Peru	female	['BI']
972	HG01956	BB03	ACB	African Caribbean in Barbados	female	['BI']
999	HG01988	BB11	ACB	African Caribbean in Barbados	male	['SC', 'BI']
1000	HG01989	BB11	ACB	African Caribbean in Barbados	female	['SC', 'BI']
1044	HG02052	BB14	ACB	African Caribbean in Barbados	female	['BI']
1085	HG02107	BB18	ACB	African Caribbean in Barbados	male	['BI']
1290	HG02461	GB15	GWD	Gambian in Western Division, The Gambia	male	['BI']
1291	HG02462	GB15	GWD	Gambian in Western Division, The Gambia	female	['BI']
